id,room_id,guild_id,owner_id,action_type,target_user_id,metadata_json,created_at
60,20,1471242450386550835,763898226562564116,LOCK,\N,"{""source"":""button_lockon""}","""2026-02-28T19:22:22.036Z"""
61,22,1471242450386550835,315818922450616320,LOCK,\N,"{""source"":""button_lockon""}","""2026-03-02T10:25:20.222Z"""
62,22,1471242450386550835,315818922450616320,WHITELIST_ADD,1448002329268719666,"{""source"":""modal_allow""}","""2026-03-02T10:25:24.678Z"""
63,22,1471242450386550835,315818922450616320,WHITELIST_ADD,973259515476733962,"{""source"":""modal_allow""}","""2026-03-02T10:25:42.357Z"""
64,22,1471242450386550835,315818922450616320,WHITELIST_ADD,801741057394081793,"{""source"":""modal_allow""}","""2026-03-02T10:26:07.087Z"""
65,22,1471242450386550835,315818922450616320,WHITELIST_ADD,1119865884362682441,"{""source"":""modal_allow""}","""2026-03-02T10:28:04.438Z"""
66,22,1471242450386550835,315818922450616320,WHITELIST_ADD,956622381324054578,"{""source"":""modal_allow""}","""2026-03-02T10:36:10.571Z"""
67,22,1471242450386550835,315818922450616320,WHITELIST_ADD,478521630155603968,"{""source"":""modal_allow""}","""2026-03-02T10:36:32.310Z"""
68,22,1471242450386550835,315818922450616320,WHITELIST_ADD,1058727181288755240,"{""source"":""modal_allow""}","""2026-03-02T10:37:05.918Z"""
69,20,1471242450386550835,763898226562564116,WHITELIST_ADD,1466369259587244072,"{""source"":""modal_allow""}","""2026-03-02T14:44:44.554Z"""
70,20,1471242450386550835,763898226562564116,UNLOCK,\N,"{""source"":""button_lockoff""}","""2026-03-02T14:45:00.463Z"""
71,20,1471242450386550835,763898226562564116,WHITELIST_REMOVE,1466369259587244072,"{""source"":""modal_remove""}","""2026-03-02T14:46:53.299Z"""
72,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1119865884362682441,"{""source"":""select_sync""}","""2026-03-02T19:59:43.928Z"""
73,26,1471242450386550835,763898226562564116,WHITELIST_REMOVE,1119865884362682441,"{""source"":""select_sync""}","""2026-03-02T19:59:51.178Z"""
74,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1466369259587244072,"{""source"":""select_sync""}","""2026-03-02T20:00:06.330Z"""
75,26,1471242450386550835,763898226562564116,WHITELIST_REMOVE,1466369259587244072,"{""source"":""select_sync""}","""2026-03-02T20:00:12.898Z"""
76,26,1471242450386550835,763898226562564116,WHITELIST_ADD,315818922450616320,"{""source"":""select_sync""}","""2026-03-02T20:00:24.117Z"""
77,26,1471242450386550835,763898226562564116,WHITELIST_REMOVE,315818922450616320,"{""source"":""select_sync""}","""2026-03-02T20:00:31.094Z"""
78,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1448002329268719666,"{""source"":""select_sync""}","""2026-03-02T20:01:31.320Z"""
79,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1058727181288755240,"{""source"":""select_sync""}","""2026-03-02T20:01:31.325Z"""
80,26,1471242450386550835,763898226562564116,WHITELIST_ADD,776755211015815169,"{""source"":""select_sync""}","""2026-03-02T20:01:31.327Z"""
81,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1477005738361618565,"{""source"":""select_sync""}","""2026-03-02T20:01:31.329Z"""
82,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1335198793733374013,"{""source"":""select_sync""}","""2026-03-02T20:01:31.331Z"""
83,26,1471242450386550835,763898226562564116,WHITELIST_ADD,1119865884362682441,"{""source"":""select_sync""}","""2026-03-02T20:01:31.331Z"""
84,26,1471242450386550835,763898226562564116,WHITELIST_ADD,315818922450616320,"{""source"":""select_sync""}","""2026-03-02T20:01:31.332Z"""
